Message_id,Movie_name,Message
p28_bolly,Aarakshan 2011 Hindi 720p DvDRip x264 AC3 5.1.. (1).Hon3y.txt," Deepak Kumar......I'm extremely pleased to appoint you as a Junior Lecturer at S.T.M. Congratulations. Thank you, Sir. I'm proud of you. - Come on. - This is where Deepak lives? Why didn't you tell me you live in such a narrow lane? "
p29_bolly,Aarakshan 2011 Hindi 720p DvDRip x264 AC3 5.1.. (1).Hon3y.txt," See, I am a teacher. My responsibility towards each child is the same. Proud as I am of my successful and privileged students...lam equally concerned about the weaker and...poor students of our society. Two Indias co-exist in our country...Mr. Arvind Kamal. And, if we want our country to genuinely progress, then...we shall have to eliminate the gap between the two. "
p30_bolly,Aarakshan 2011 Hindi 720p DvDRip x264 AC3 5.1...Hon3y.txt," Deepak Kumar......I'm extremely pleased to appoint you as a Junior Lecturer at S.T.M. Congratulations. Thank you, Sir. I'm proud of you. - Come on. - This is where Deepak lives? Why didn't you tell me you live in such a narrow lane? "
p31_bolly,Aarakshan 2011 Hindi 720p DvDRip x264 AC3 5.1...Hon3y.txt," See, I am a teacher. My responsibility towards each child is the same. Proud as I am of my successful and privileged students...lam equally concerned about the weaker and...poor students of our society. Two Indias co-exist in our country...Mr. Arvind Kamal. And, if we want our country to genuinely progress, then...we shall have to eliminate the gap between the two. "
p32_bolly,Andaz_1994-By_TS_Team_RTW.txt," Govind is my student, Jaya. and this man was a traitor. I could've retaliated to Govind's impudence. But that wouldn't shatter his pride. in fact, it would've given rise to a feeling of vengeance in him. Punishment doesn't change a student. "
p33_bolly,Andolan (1995) 1.3 DVDrip- XviD- ESubs- [Team Bindass].txt," He was  always very sick. And one day, he just died. There I was on the streets. Orphaned. And I starved. A peasant's son is too proud to beg. Hungry and starved, I fainted one day. On the streets. In this city   millions there was at least one kind soul. "
p34_bolly,Andolan (1995) 1.3 DVDrip- XviD- ESubs- [Team Bindass].txt,Now I know why you decided against going to  Delhi all of a sudden. I won't take the money. I know you're very proud. In all these years...you have never taken a penny from me. - But don't I have a right overyou? -You have all the right. But this is your superannuation fund. Use it to go to  Delhi. 
p35_bolly,Angulimala - 1960 - You tube Video Running Time 02.06.52.txt," Ask the royal astrologer for his horoscope. Here, your darling is ten days old now. Bless him. Long live, my son. Make your clan proud. - Greetings, royal priest. - Greetings, royal astrologer. Come in, please. "
p36_bolly,Angulimala - 1960 - You tube Video Running Time 02.06.52.txt," I offer you my life. Make my son immortal May he light the torch of peace in this world May he make his country proud I know. It's my son, Ahinsak. You don't wear good clothes. Why? "
p37_bolly,Aarya-2 (1).1CD.DvD.X264_2.txt," Father-in-law! # I'm a foreigner, I came from foreign... # # For proud young men, I left Washington... # # Got fed up boarding airbus... # # I started liking red bus... # "
p38_bolly,Anjaam 1CD 1994 {www.desibbrg.com} ~ Da Xclusives.txt,its just paper to me but they can turn any no into a yes Really? -if this is not enough I have more You have that much pride in your money Not pride but proud just like you are of your beauty And you came to bid on my beauty 
p39_bolly,Anjaam 1CD 1994 {www.desibbrg.com} ~ Da Xclusives.txt,Really? -if this is not enough I have more You have that much pride in your money Not pride but proud just like you are of your beauty And you came to bid on my beauty Think what ever you want 
p40_bolly,Anjaana (1969).txt," Do you think your son is such a fool....to let go of this golden chance, Daddy?. Fool, I want God to give a son like you to everyone. With his ability, he improved the business in a short while....and his decency has made me proud. Not only son, God has given me everything. He gave me a divine friend. "
p41_bolly,Anjaana (1969).txt," Diwan sir, love is sublime and doesn't believe in cast or creed. Love is the boon of nature....according to which the rich and the poor are equal. if love is a crime, then I'm proud of my love. Shut up. - Diwan sir. I don't know what stopped me, Diwan sir. "
p42_bolly,Ankahee 2006 Hindi 480p DvDRip x264 AC3 5.1...Hon3y.txt," We have to win this case at any cost. Come! Case. Till yesterday the relation which I was proud about. Today it has become a case. You go, Shilpa. "
